IP 地址,已发送,已接收,丢包率,平均延迟,下载速度(MB/s),地区码,端口
104.27.0.12,4,4,0.00,191.19,8.17,FRA,443
104.27.2.146,4,4,0.00,198.46,8.10,FRA,443
162.159.255.48,4,4,0.00,182.61,8.07,LAX,443
104.17.56.30,4,4,0.00,191.77,8.04,SJC,443
104.16.206.47,4,4,0.00,175.74,8.04,SJC,443
104.27.23.220,4,4,0.00,191.50,8.01,FRA,443
104.27.105.217,4,4,0.00,192.98,8.00,FRA,443
104.16.34.252,4,4,0.00,168.30,7.96,SJC,443
104.17.129.66,4,4,0.00,172.33,7.96,SJC,443
104.17.155.32,4,4,0.00,173.27,7.95,SJC,443
172.67.91.3,4,4,0.00,183.33,7.85,FRA,443
104.16.105.108,4,4,0.00,171.46,7.74,SJC,443
104.16.227.157,4,4,0.00,179.20,7.71,SJC,443
104.27.76.81,4,4,0.00,195.46,7.65,FRA,443
104.24.197.201,4,4,0.00,193.85,7.61,FRA,443
162.159.253.220,4,4,0.00,191.56,7.52,LAX,443
172.67.95.6,4,4,0.00,187.96,7.51,FRA,443
141.101.121.98,4,4,0.00,176.41,7.49,SJC,443
104.16.27.76,4,4,0.00,176.26,7.49,SJC,443
104.17.44.119,4,4,0.00,194.05,7.47,SJC,443
172.67.146.159,4,4,0.00,188.95,7.43,AMS,443
104.16.234.91,4,4,0.00,193.71,7.41,SJC,443
104.17.184.37,4,4,0.00,175.59,7.32,SJC,443
104.16.94.10,4,4,0.00,182.38,7.31,SJC,443
104.17.4.119,4,4,0.00,176.61,7.28,SJC,443
104.17.6.82,4,4,0.00,195.25,7.20,SJC,443
104.21.39.166,4,4,0.00,194.80,7.18,AMS,443
104.20.56.155,4,4,0.00,180.43,7.14,FRA,443
104.20.8.80,4,4,0.00,185.76,7.13,FRA,443
104.20.54.69,4,4,0.00,186.67,7.09,FRA,443
198.41.194.212,4,4,0.00,171.80,7.05,SJC,443
104.16.61.204,4,4,0.00,172.06,7.02,SJC,443
104.17.60.88,4,4,0.00,183.97,6.96,SJC,443
172.67.210.118,4,4,0.00,193.19,6.88,AMS,443
104.20.20.128,4,4,0.00,194.01,6.86,FRA,443
162.159.254.94,4,4,0.00,195.49,6.78,LAX,443
172.66.169.202,4,4,0.00,186.56,6.70,FRA,443
104.16.69.211,4,4,0.00,167.67,6.70,SJC,443
104.21.197.85,4,4,0.00,191.98,6.69,AMS,443
104.16.155.243,4,4,0.00,177.87,6.63,SJC,443
104.17.54.154,4,4,0.00,180.43,6.56,SJC,443
104.24.135.219,4,4,0.00,199.14,6.53,FRA,443
172.66.161.10,4,4,0.00,185.55,6.51,FRA,443
172.66.138.193,4,4,0.00,192.07,6.39,FRA,443
104.17.119.128,4,4,0.00,193.19,6.39,SJC,443
104.24.4.229,4,4,0.00,193.53,6.28,FRA,443
172.66.159.100,4,4,0.00,197.35,6.26,FRA,443
104.17.79.169,4,4,0.00,179.28,6.20,SJC,443
104.17.31.51,4,4,0.00,186.00,6.18,SJC,443
104.27.29.196,4,4,0.00,196.26,6.17,FRA,443
162.159.240.90,4,4,0.00,181.19,6.15,LAX,443
104.17.127.14,4,4,0.00,176.58,6.10,SJC,443
104.24.25.172,4,4,0.00,191.89,6.09,FRA,443
162.159.250.29,4,4,0.00,176.30,6.04,LAX,443
172.67.184.30,4,4,0.00,190.10,6.02,AMS,443
198.41.219.58,4,4,0.00,160.48,5.99,SJC,443
172.67.221.108,4,4,0.00,194.58,5.87,AMS,443
104.16.222.136,4,4,0.00,203.01,5.82,SJC,443
104.20.61.205,4,4,0.00,198.20,5.82,FRA,443
104.17.46.173,4,4,0.00,166.10,5.81,SJC,443
104.16.208.64,4,4,0.00,190.64,5.78,SJC,443
172.64.93.12,4,4,0.00,174.27,5.78,SJC,443
172.66.3.31,4,4,0.00,166.47,5.77,SJC,443
104.27.111.138,4,4,0.00,198.32,5.72,FRA,443
104.17.98.46,4,4,0.00,178.12,5.69,SJC,443
104.17.125.175,4,4,0.00,183.08,5.65,SJC,443
104.16.156.222,4,4,0.00,200.88,5.55,SJC,443
104.16.158.112,4,4,0.00,191.68,5.55,SJC,443
162.159.141.93,4,4,0.00,198.99,5.52,FRA,443
198.41.216.164,4,4,0.00,181.12,5.50,SJC,443
172.67.149.24,4,4,0.00,205.12,5.50,AMS,443
104.17.16.84,4,4,0.00,177.18,5.50,SJC,443
104.16.174.235,4,4,0.00,193.48,5.41,SJC,443
104.16.169.156,4,4,0.00,198.27,5.32,SJC,443
104.27.102.82,4,4,0.00,193.01,5.32,FRA,443
104.21.238.151,4,4,0.00,179.67,5.29,LAX,443
104.24.93.234,4,4,0.00,177.48,5.26,FRA,443
104.16.55.237,4,4,0.00,169.12,5.26,SJC,443
104.17.47.197,4,4,0.00,172.63,5.25,SJC,443
172.67.132.61,4,4,0.00,186.45,5.21,AMS,443
162.159.199.210,4,4,0.00,195.01,5.21,SJC,443
104.16.16.217,4,4,0.00,167.36,5.17,SJC,443
104.21.123.166,4,4,0.00,195.77,5.16,AMS,443
104.16.93.37,4,4,0.00,177.05,5.14,SJC,443
172.66.41.144,4,4,0.00,168.83,5.14,SJC,443
104.17.28.134,4,4,0.00,198.13,5.13,SJC,443
104.21.98.66,4,4,0.00,196.90,5.12,AMS,443
104.16.48.40,4,4,0.00,191.35,5.06,SJC,443
104.24.62.133,4,4,0.00,209.25,5.00,FRA,443
104.24.63.201,4,4,0.00,191.33,4.99,FRA,443
104.17.140.195,4,4,0.00,179.86,4.96,SJC,443
104.16.173.63,4,4,0.00,195.19,4.94,SJC,443
104.16.251.145,4,4,0.00,175.19,4.94,SJC,443
104.24.95.9,4,4,0.00,204.51,4.90,FRA,443
172.67.229.99,4,4,0.00,198.29,4.90,AMS,443
104.21.4.154,4,4,0.00,197.43,4.84,AMS,443
172.67.114.101,4,4,0.00,199.11,4.84,FRA,443
104.21.232.28,4,4,0.00,175.08,4.82,LAX,443
162.159.252.191,4,4,0.00,181.54,4.76,LAX,443
104.17.26.61,4,4,0.00,175.85,4.75,SJC,443
172.64.94.10,4,4,0.00,180.64,4.69,SJC,443
104.17.32.228,4,4,0.00,203.86,4.68,SJC,443
104.19.214.163,4,4,0.00,200.74,4.64,SJC,443
104.24.59.198,4,4,0.00,192.66,4.64,FRA,443
104.24.170.133,4,4,0.00,206.78,4.64,FRA,443
104.19.239.76,4,4,0.00,186.48,4.58,SJC,443
172.67.228.48,4,4,0.00,192.03,4.56,AMS,443
104.25.14.135,4,4,0.00,204.20,4.55,FRA,443
104.17.115.248,4,4,0.00,199.26,4.52,SJC,443
104.16.111.131,4,4,0.00,183.96,4.46,SJC,443
172.67.120.163,4,4,0.00,195.87,4.46,FRA,443
104.27.88.76,4,4,0.00,196.76,4.45,FRA,443
172.67.180.23,4,4,0.00,195.10,4.42,AMS,443
104.16.245.213,4,4,0.00,172.17,4.39,SJC,443
